"method","method_setting","condition_id","empirical_se","empirical_se_mcse"
"SM","4PSM",2,0.122340464815258,0.0091698055225519
"SM","4PSM",3,0.188601949821053,0.0157168291517544
"SM","4PSM",4,0.169300308718134,0.0124809843475149
"SM","4PSM",5,0.0312431655023921,0.00222035508877563
"SM","4PSM",6,0.0313343142935415,0.00222683275129829
"SM","4PSM",7,0.0563809125017005,0.00400681697804852
"SM","4PSM",8,0.0461381526209823,0.0032788957300393
"puniform","default",1,4.49840476367086,0.649288800307317
"puniform","default",2,0.601585491378732,0.0427528192370292
"puniform","default",3,0.619655336847872,0.0684294844885335
"puniform","default",4,0.239350884854473,0.0170964917753195
"puniform","default",5,0.566488899252627,0.0410974242358744
"puniform","default",6,0.0517349479816867,0.00367664265677195
"puniform","default",7,0.247715809461742,0.0176043960099511
"puniform","default",8,0.0506020876095194,0.00359613377581297
"puniform","star",1,0.0899257488001114,0.00639074468766615
"puniform","star",2,0.107195405491973,0.00761804574697291
"puniform","star",3,0.109722384520069,0.00779763032664152
"puniform","star",4,0.119769589432195,0.00851165408818712
"puniform","star",5,0.0189989337701366,0.00135019542992864
"puniform","star",6,0.0276146447263525,0.00196248734585468
"puniform","star",7,0.0347059521890864,0.00246644462283893
"puniform","star",8,0.04037431957276,0.00286927795176092
"pcurve","default",1,0,0
"pcurve","default",2,0,0
"pcurve","default",3,0,0
"pcurve","default",4,0,0
"pcurve","default",5,0,0
"pcurve","default",6,0,0
"pcurve","default",7,0,0
"pcurve","default",8,0,0
"EK","default",1,0.243976069536753,0.0173386242662874
"EK","default",2,0.233725670817184,0.0166101601496398
"EK","default",3,0.3303985357232,0.023480401499677
"EK","default",4,0.283484833084202,0.0201463898298341
"EK","default",5,0.0634176169719619,0.00450689378932933
"EK","default",6,0.0555850018004379,0.00395025406749376
"EK","default",7,0.0895153090132223,0.00636157600213761
"EK","default",8,0.0842935006998985,0.00599047824444683
"AK","AK1",1,0.160546300059987,0.0125365598188326
"AK","AK1",2,0.0956265402783168,0.00679588229664859
"AK","AK1",3,5.24930491897845,0.389104368413853
"AK","AK1",4,0.112021448663758,0.00800153204741128
"AK","AK1",5,0.0185301357423776,0.00131687940481387
"AK","AK1",6,0.0261563074074109,0.00185884782549252
"AK","AK1",7,0.0283483770252809,0.00202488407323435
"AK","AK1",8,0.0374690408945427,0.00266280878662472
"AK","AK2",1,0.136220771798439,0.0364065326451198
"AK","AK2",2,0.112565976091385,0.0459548673037039
"AK","AK2",3,0.225335915953347,0.036554312517754
"AK","AK2",4,0.431683822331365,0.215841911165683
"AK","AK2",5,0.0355455279877451,0.00266424996289042
"AK","AK2",6,0.0191519870179081,0.00552870243015273
"AK","AK2",7,0.0679177596277416,0.00482670500196756
"AK","AK2",8,0.0409259857955768,0.00747202853612448
"RoBMA","PSMA",1,0.0131845685067484,0.000936986483492791
"RoBMA","PSMA",2,0.0891194550444721,0.00633344388556769
"RoBMA","PSMA",3,0.0397831943102854,0.00282726850862243
"RoBMA","PSMA",4,0.106472360756996,0.00756666119515481
"RoBMA","PSMA",5,0.00396960043714929,0.000282107218948591
"RoBMA","PSMA",6,0.0189808981611645,0.00134891369501105
"RoBMA","PSMA",7,0.00498397514543167,0.000354195690434863
"RoBMA","PSMA",8,0.0319087432604826,0.00226765564038072
