"method","method_setting","condition_id","empirical_variance","empirical_variance_mcse"
"puniform","star",2,0.0114908549585885,0.00163323900580632
"puniform","star",3,0.01203900166477,0.00171114918609023
"puniform","star",4,0.0143447545527566,0.00203887463106207
"puniform","star",5,0.000360959484402039,5.13045470999109e-05
"puniform","star",6,0.00076256860336267,0.000108386781671479
"puniform","star",7,0.00120450311735115,0.000171200618314554
"puniform","star",8,0.00163008568096335,0.000231690289934939
"pcurve","default",1,0,0
"pcurve","default",2,0,0
"pcurve","default",3,0,0
"pcurve","default",4,0,0
"pcurve","default",5,0,0
"pcurve","default",6,0,0
"pcurve","default",7,0,0
"pcurve","default",8,0,0
"EK","default",1,0.0595243225066028,0.00846041879932673
"EK","default",2,0.0546276891989428,0.00776444164671083
"EK","default",3,0.109163192408035,0.0155157805473722
"EK","default",4,0.0803636505887776,0.0114223919163196
"EK","default",5,0.00402179414240247,0.000571632928130003
"EK","default",6,0.00308969242515469,0.000439149758907655
"EK","default",7,0.00801299054773267,0.00113891688328489
"EK","default",8,0.00710539426024378,0.00100991676418201
"AK","AK1",1,0.0257751144629515,0.00402539658878856
"AK","AK1",2,0.00914443520560054,0.00129973342433433
"AK","AK1",3,27.5552021324113,4.08505495022168
"AK","AK1",4,0.0125488049607269,0.00179268642296099
"AK","AK1",5,0.00034336593063094,4.88039082550848e-05
"AK","AK1",6,0.00068415241719098,9.72411902943596e-05
"AK","AK1",7,0.000803630479967472,0.000114804354281067
"AK","AK1",8,0.00140392902555691,0.000199545782640779
"AK","AK2",1,0.0185560986693624,0.00991865195084658
"AK","AK2",2,0.0126710989734062,0.010345908988383
"AK","AK2",3,0.0507762750185337,0.0164739989864659
"AK","AK2",4,0.186350922462618,0.186350922462618
"AK","AK2",5,0.00126348455992757,0.000189404343244541
"AK","AK2",6,0.00036679860673412,0.000211771274336324
"AK","AK2",7,0.00461282207285169,0.000655637980235301
"AK","AK2",8,0.00167493631333976,0.000611600267467151
"RoBMA","PSMA",1,0.000173832846709141,2.47075249630159e-05
"RoBMA","PSMA",2,0.00794227726742369,0.00112886613527307
"RoBMA","PSMA",3,0.00158270254952992,0.000224955544891754
"RoBMA","PSMA",4,0.0113363636051678,0.00161128056099297
"RoBMA","PSMA",5,1.57577276306158e-05,2.23970587932259e-06
"RoBMA","PSMA",6,0.000360274495004498,5.12071869464099e-05
"RoBMA","PSMA",7,2.48400082502806e-05,3.53060503549273e-06
"RoBMA","PSMA",8,0.0010181678964634,0.000144716083264187
