"method","method_setting","condition_id","bias","bias_mcse"
"AK","AK2",5,-0.000137835556555393,0.00374682763581787
"AK","AK2",6,0.00748423698226359,0.0072387706803032
"AK","AK2",7,0.0103871476489686,0.00679177596277416
"AK","AK2",8,0.0156439418018091,0.0102314964488942
"RoBMA","PSMA",1,-0.0054344386444051,0.00131845685067484
"RoBMA","PSMA",2,-0.119276608458123,0.00891194550444721
"RoBMA","PSMA",3,-0.0127411584807104,0.00397831943102854
"RoBMA","PSMA",4,-0.125222361932968,0.0106472360756996
"RoBMA","PSMA",5,-0.000804049504455511,0.000396960043714929
"RoBMA","PSMA",6,-0.0099512136568253,0.00189808981611645
"RoBMA","PSMA",7,-0.00104561970593717,0.000498397514543167
"RoBMA","PSMA",8,-0.0109761342432523,0.00319087432604826
