"method","method_setting","condition_id","mean_ci_width","mean_ci_width_mcse"
"WAAPWLS","default",3,0.283686692716186,0.00711356822563244
"WAAPWLS","default",4,0.283666017187963,0.00910410688965922
"WAAPWLS","default",5,0.0719548790090505,0.000528687862212368
"WAAPWLS","default",6,0.113757661059958,0.00864615556856416
"WAAPWLS","default",7,0.0919018219570289,0.000691489355302149
"WAAPWLS","default",8,0.256645473329966,0.0216999558656613
"trimfill","default",1,0.267493246847415,0.00781548731912121
"trimfill","default",2,0.264108517964506,0.00747457329541502
"trimfill","default",3,0.326056511773898,0.00843685204118392
"trimfill","default",4,0.329943171588989,0.0090984161489198
"trimfill","default",5,0.0744693643442412,0.000606887699221415
"trimfill","default",6,0.072281101836153,0.000584324996444266
"trimfill","default",7,0.099271561412441,0.000916607652345175
"trimfill","default",8,0.0976475642143549,0.000811888238803289
"SM","3PSM",1,0.305453604078068,0.0194841429946402
"SM","3PSM",2,0.389261849609765,0.01258100924866
"SM","3PSM",3,0.394808220808095,0.02816850088558
"SM","3PSM",4,0.461174889634204,0.0144860656458655
"SM","3PSM",5,0.0827293634389505,0.00115611115509585
"SM","3PSM",6,0.107090547984446,0.000649794820970061
"SM","3PSM",7,0.126455444367335,0.00258387196347889
"SM","3PSM",8,0.146597302551305,0.00124364235331943
"SM","4PSM",1,0.472270731056858,0.0253896995096044
"SM","4PSM",2,0.506219296098159,0.0350235147989445
"SM","4PSM",3,0.615273385885734,0.0464180061189629
"SM","4PSM",4,0.697488793868739,0.0589898208680809
"SM","4PSM",5,0.128669323663435,0.00207596641037154
"SM","4PSM",6,0.122679554460056,0.00144420557783245
"SM","4PSM",7,0.209459075001097,0.00475946657101209
"SM","4PSM",8,0.182450669812717,0.00295490042493731
"puniform","default",1,9.44523479903756,4.76172249781254
"puniform","default",2,1.82381934548289,0.380419855184457
"puniform","default",3,2.80342001182524,0.488544240430126
"puniform","default",4,1.84175177586803,0.470417761736499
"puniform","default",5,3.2509357824326,0.42017673810094
"puniform","default",6,0.19587105126614,0.00406045096938388
"puniform","default",7,1.18862445108252,0.312709743696613
"puniform","default",8,0.175417095287331,0.00336279271572241
"puniform","star",1,0.539768509813777,0.0510659359710762
"puniform","star",2,0.466178171159494,0.0171277433582929
"puniform","star",3,0.698910229960014,0.0587046461842181
"puniform","star",4,0.54379813726476,0.0167067148851163
"puniform","star",5,0.0877584967180995,0.00147032165665155
"puniform","star",6,0.112479387872237,0.000687054775510053
"puniform","star",7,0.133605941560924,0.0027860994544128
"puniform","star",8,0.150720351700667,0.00119542118489887
"pcurve","default",1,NA,NA
"pcurve","default",2,NA,NA
"pcurve","default",3,NA,NA
"pcurve","default",4,NA,NA
"pcurve","default",5,NA,NA
"pcurve","default",6,NA,NA
"pcurve","default",7,NA,NA
"pcurve","default",8,NA,NA
"EK","default",1,0.987215790925827,0.0363768893514081
