"method","method_setting","condition_id","mse","mse_mcse"
"AK","AK1",7,0.000821069128637523,0.000151487889965162
"AK","AK1",8,0.00139489857456541,0.00019254321605312
"AK","AK2",1,0.0184914047319732,0.0077595999462979
"AK","AK2",2,0.0269696708900629,0.017293676816065
"AK","AK2",3,0.0498821817338628,0.0171743190380578
"AK","AK2",4,0.12479404055758,0.072265249403138
"AK","AK2",5,0.00124946484123569,0.000196158528462528
"AK","AK2",6,0.000370412608978785,0.00017269582023261
"AK","AK2",7,0.00467458668840465,0.000701920255494002
"AK","AK2",8,0.00181498570885441,0.000620709523967512
"RoBMA","PSMA",1,0.000201627641621853,5.33857765547995e-05
"RoBMA","PSMA",2,0.0220897638200218,0.00228988043751742
"RoBMA","PSMA",3,0.0017292126434652,0.000580450644364294
"RoBMA","PSMA",4,0.0269036398971874,0.00265080503547421
"RoBMA","PSMA",5,1.62466459599248e-05,1.19960318973897e-05
"RoBMA","PSMA",6,0.00045569840329824,6.61301852775351e-05
"RoBMA","PSMA",7,2.56849287372219e-05,1.8721118664695e-05
"RoBMA","PSMA",8,0.00112846174042466,0.000244715821219231
